HE2C,MIT3A,MIT3C,MIT1A,MIT1B,HE2A,MIT5C,MIT5A,MIT5B
5.75546E-10,1.34751E-11,2.75577E-12,3.12867E-11,5.80375E-12,1.25126E-10,1.90594E-12,1.90594E-12,1.347E-11
5.79843E-10,1.34752E-11,2.76863E-12,3.11451E-11,5.82852E-12,1.25798E-10,1.91736E-12,1.91736E-12,1.3421E-11
5.846E-10,1.34198E-11,2.74933E-12,3.1252E-11,5.8758E-12,1.25937E-10,1.92185E-12,1.92185E-12,1.3323E-11
5.89312E-10,1.34345E-11,2.70345E-12,3.08129E-11,5.81648E-12,1.25773E-10,1.92396E-12,1.92396E-12,1.3206E-11
5.90573E-10,1.33185E-11,2.68089E-12,3.01961E-11,5.52684E-12,1.25203E-10,1.91904E-12,1.91904E-12,1.3117E-11
5.91543E-10,1.32746E-11,2.66512E-12,3.03574E-11,5.45008E-12,1.24887E-10,1.90581E-12,1.90581E-12,1.2875E-11
5.91389E-10,1.31711E-11,2.65024E-12,3.01734E-11,5.44988E-12,1.24269E-10,1.88987E-12,1.88987E-12,1.2594E-11
5.90601E-10,1.31799E-11,2.62203E-12,3.01937E-11,5.58391E-12,1.23588E-10,1.87348E-12,1.87348E-12,1.2376E-11
5.83649E-10,1.30806E-11,2.57738E-12,2.95883E-11,5.60366E-12,1.22696E-10,1.8677E-12,1.8677E-12,1.2206E-11
5.8082E-10,1.30831E-11,2.53607E-12,2.96601E-11,5.48901E-12,1.2094E-10,1.85981E-12,1.85981E-12,1.2033E-11
5.74563E-10,1.30141E-11,2.48778E-12,2.98005E-11,5.47834E-12,1.20019E-10,1.85335E-12,1.85335E-12,1.1886E-11
5.721E-10,1.28744E-11,2.47176E-12,2.93577E-11,5.47628E-12,1.19046E-10,1.83362E-12,1.83362E-12,1.1678E-11
5.64275E-10,1.2592E-11,2.43909E-12,2.92048E-11,5.4363E-12,1.1767E-10,1.805E-12,1.805E-12,1.1478E-11
5.6038E-10,1.23222E-11,2.41422E-12,2.89799E-11,5.2984E-12,1.15483E-10,1.7733E-12,1.7733E-12,1.1151E-11
5.53072E-10,1.2106E-11,2.3796E-12,2.9788E-11,5.25285E-12,1.13145E-10,1.73643E-12,1.73643E-12,1.0904E-11
5.48329E-10,1.19539E-11,2.34868E-12,2.97199E-11,5.2988E-12,1.11709E-10,1.70357E-12,1.70357E-12,1.0692E-11
5.42883E-10,1.18094E-11,2.30803E-12,3.0041E-11,5.40421E-12,1.10489E-10,1.67165E-12,1.67165E-12,1.0488E-11
5.34339E-10,1.16119E-11,2.24831E-12,2.91697E-11,5.29415E-12,1.08823E-10,1.64127E-12,1.64127E-12,1.0237E-11
5.23553E-10,1.13987E-11,2.21068E-12,2.91856E-11,5.32363E-12,1.06859E-10,1.61364E-12,1.61364E-12,1.0036E-11
5.11157E-10,1.11833E-11,2.17454E-12,2.8869E-11,5.32926E-12,1.04586E-10,1.58148E-12,1.58148E-12,9.8221E-12
5.02593E-10,1.09859E-11,2.15144E-12,2.91034E-11,5.36923E-12,1.03103E-10,1.55174E-12,1.55174E-12,9.7728E-12
4.97354E-10,1.06288E-11,2.10197E-12,2.88883E-11,5.26539E-12,1.00935E-10,1.51902E-12,1.51902E-12,9.5609E-12
4.89891E-10,1.03914E-11,2.0534E-12,2.86695E-11,5.13151E-12,9.8964E-11,1.4879E-12,1.4879E-12,9.3771E-12
4.81591E-10,1.01891E-11,1.99685E-12,2.79501E-11,5.01725E-12,9.6251E-11,1.45396E-12,1.45396E-12,8.979E-12
4.69908E-10,1.01062E-11,1.96125E-12,2.75412E-11,5.02949E-12,9.44211E-11,1.41925E-12,1.41925E-12,8.7894E-12
4.60652E-10,9.87585E-12,1.93038E-12,2.70708E-11,5.02311E-12,9.24896E-11,1.3773E-12,1.3773E-12,8.5316E-12
4.50888E-10,9.66156E-12,1.90149E-12,2.74216E-11,5.10924E-12,9.0958E-11,1.34313E-12,1.34313E-12,8.4196E-12
4.40592E-10,9.45548E-12,1.85971E-12,2.72348E-11,5.01926E-12,8.92917E-11,1.3106E-12,1.3106E-12,8.2466E-12
4.31554E-10,9.28163E-12,1.82169E-12,2.73022E-11,4.97019E-12,8.75066E-11,1.28562E-12,1.28562E-12,8.0626E-12
4.23598E-10,9.11521E-12,1.78331E-12,2.68839E-11,4.83793E-12,8.54136E-11,1.25731E-12,1.25731E-12,7.8722E-12
4.16676E-10,8.95356E-12,1.75564E-12,2.69016E-11,4.88894E-12,8.38411E-11,1.22997E-12,1.22997E-12,7.7351E-12
4.08459E-10,8.76748E-12,1.72404E-12,2.68284E-11,4.92454E-12,8.18592E-11,1.20151E-12,1.20151E-12,7.5995E-12
4.0065E-10,8.59218E-12,1.69294E-12,2.67674E-11,4.96382E-12,8.01828E-11,1.17976E-12,1.17976E-12,7.4367E-12
3.92721E-10,8.41132E-12,1.65715E-12,2.65464E-11,4.94224E-12,7.83473E-11,1.15444E-12,1.15444E-12,7.2949E-12
3.85098E-10,8.27703E-12,1.6296E-12,2.62954E-11,4.90685E-12,7.70175E-11,1.12995E-12,1.12995E-12,7.1539E-12
3.76834E-10,8.09574E-12,1.60093E-12,2.62231E-11,4.91314E-12,7.54112E-11,1.10107E-12,1.10107E-12,7.0437E-12
3.68987E-10,7.94686E-12,1.57409E-12,2.61707E-11,4.898E-12,7.38755E-11,1.07566E-12,1.07566E-12,6.9024E-12
3.61431E-10,7.76159E-12,1.54012E-12,2.60828E-11,4.89481E-12,7.23503E-11,1.05055E-12,1.05055E-12,6.7867E-12
3.55389E-10,7.62605E-12,1.51352E-12,2.60965E-11,4.89223E-12,7.10087E-11,1.02906E-12,1.02906E-12,6.6723E-12
3.4911E-10,7.4887E-12,1.48733E-12,2.59793E-11,4.88215E-12,6.97234E-11,1.00768E-12,1.00768E-12,6.5812E-12
3.43165E-10,7.36594E-12,1.46209E-12,2.61441E-11,4.86139E-12,6.82906E-11,9.87016E-13,9.87016E-13,6.4809E-12
3.37422E-10,7.25638E-12,1.43876E-12,2.61852E-11,4.86696E-12,6.72382E-11,9.67771E-13,9.67771E-13,6.3935E-12
3.32049E-10,7.14287E-12,1.42001E-12,2.606E-11,4.86998E-12,6.59364E-11,9.49218E-13,9.49218E-13,6.2965E-12
3.26817E-10,7.041E-12,1.3993E-12,2.58862E-11,4.87741E-12,6.48151E-11,9.31438E-13,9.31438E-13,6.2206E-12
3.21803E-10,6.92567E-12,1.3795E-12,2.57136E-11,4.83305E-12,6.35201E-11,9.13941E-13,9.13941E-13,6.132E-12
3.16686E-10,6.81405E-12,1.35696E-12,2.55934E-11,4.79564E-12,6.25456E-11,8.99956E-13,8.99956E-13,6.0502E-12
3.11655E-10,6.69172E-12,1.33898E-12,2.55456E-11,4.75707E-12,6.17106E-11,8.85319E-13,8.85319E-13,5.9472E-12
3.06514E-10,6.57644E-12,1.3168E-12,2.52964E-11,4.75643E-12,6.07859E-11,8.70416E-13,8.70416E-13,5.8792E-12
3.02173E-10,6.49072E-12,1.29752E-12,2.53546E-11,4.76444E-12,5.9638E-11,8.54815E-13,8.54815E-13,5.8052E-12
2.97866E-10,6.41958E-12,1.27875E-12,2.53515E-11,4.77427E-12,5.87349E-11,8.41438E-13,8.41438E-13,5.7519E-12
2.93894E-10,6.35398E-12,1.26585E-12,2.53607E-11,4.74762E-12,5.7915E-11,8.28594E-13,8.28594E-13,5.6795E-12
2.89791E-10,6.25153E-12,1.25035E-12,2.51807E-11,4.75679E-12,5.71531E-11,8.16703E-13,8.16703E-13,5.6371E-12
2.85997E-10,6.15222E-12,1.23309E-12,2.49497E-11,4.71786E-12,5.61212E-11,8.04819E-13,8.04819E-13,5.6015E-12
2.81934E-10,6.06068E-12,1.21784E-12,2.49872E-11,4.74238E-12,5.53555E-11,7.93788E-13,7.93788E-13,5.5652E-12
2.78206E-10,5.99429E-12,1.20426E-12,2.49128E-11,4.74102E-12,5.45548E-11,7.82823E-13,7.82823E-13,5.5082E-12
2.74873E-10,5.92737E-12,1.19251E-12,2.48578E-11,4.73965E-12,5.39862E-11,7.72765E-13,7.72765E-13,5.45E-12
2.7185E-10,5.86061E-12,1.17782E-12,2.47674E-11,4.74252E-12,5.31574E-11,7.62982E-13,7.62982E-13,5.3822E-12
2.68573E-10,5.79331E-12,1.16505E-12,2.48037E-11,4.72157E-12,5.25864E-11,7.51982E-13,7.51982E-13,5.3221E-12
2.65338E-10,5.71524E-12,1.15182E-12,2.45862E-11,4.74284E-12,5.17715E-11,7.42076E-13,7.42076E-13,5.2496E-12
2.62446E-10,5.65803E-12,1.13989E-12,2.47373E-11,4.73717E-12,5.12727E-11,7.33002E-13,7.33002E-13,5.2047E-12
2.59629E-10,5.58343E-12,1.12716E-12,2.48018E-11,4.75159E-12,5.05922E-11,7.26584E-13,7.26584E-13,5.1592E-12
2.57093E-10,5.53264E-12,1.11395E-12,2.49331E-11,4.72581E-12,5.02209E-11,7.18461E-13,7.18461E-13,5.1267E-12
2.54116E-10,5.45897E-12,1.10372E-12,2.4716E-11,4.71717E-12,4.96563E-11,7.10176E-13,7.10176E-13,5.0787E-12
2.51334E-10,5.40172E-12,1.09067E-12,2.44434E-11,4.68724E-12,4.91219E-11,7.01135E-13,7.01135E-13,5.0399E-12
2.48426E-10,5.33739E-12,1.0808E-12,2.4235E-11,4.64155E-12,4.83301E-11,6.93385E-13,6.93385E-13,4.9975E-12
2.46408E-10,5.27814E-12,1.06932E-12,2.4157E-11,4.62688E-12,4.77858E-11,6.86346E-13,6.86346E-13,4.9525E-12
2.44191E-10,5.23388E-12,1.05951E-12,2.43354E-11,4.60554E-12,4.7219E-11,6.78735E-13,6.78735E-13,4.9123E-12
2.42158E-10,5.1715E-12,1.04781E-12,2.44186E-11,4.60965E-12,4.68199E-11,6.7198E-13,6.7198E-13,4.8747E-12
2.39792E-10,5.11509E-12,1.03624E-12,2.44862E-11,4.58836E-12,4.63493E-11,6.6542E-13,6.6542E-13,4.8428E-12
2.37647E-10,5.04727E-12,1.02606E-12,2.44669E-11,4.61001E-12,4.59959E-11,6.59185E-13,6.59185E-13,4.7957E-12
2.35436E-10,4.99999E-12,1.01795E-12,2.45538E-11,4.62075E-12,4.55227E-11,6.53149E-13,6.53149E-13,4.7533E-12
2.3316E-10,4.94669E-12,1.00758E-12,2.45424E-11,4.58737E-12,4.49575E-11,6.46505E-13,6.46505E-13,4.6975E-12
2.31402E-10,4.89608E-12,9.9908E-13,2.45544E-11,4.55592E-12,4.44751E-11,6.40284E-13,6.40284E-13,4.65E-12
2.29642E-10,4.85138E-12,9.88145E-13,2.45857E-11,4.54201E-12,4.40823E-11,6.34563E-13,6.34563E-13,4.6021E-12
2.28089E-10,4.80726E-12,9.78273E-13,2.46482E-11,4.54915E-12,4.35902E-11,6.301E-13,6.301E-13,4.5734E-12
2.262E-10,4.76374E-12,9.67082E-13,2.46091E-11,4.55566E-12,4.31184E-11,6.2591E-13,6.2591E-13,4.5376E-12
2.24169E-10,4.70869E-12,9.58813E-13,2.4457E-11,4.53513E-12,4.26667E-11,6.20322E-13,6.20322E-13,4.498E-12
2.22471E-10,4.66484E-12,9.51008E-13,2.45077E-11,4.54702E-12,4.2279E-11,6.14678E-13,6.14678E-13,4.4407E-12
2.20823E-10,4.61709E-12,9.42223E-13,2.4422E-11,4.52652E-12,4.18925E-11,6.10125E-13,6.10125E-13,4.4043E-12
2.19248E-10,4.56946E-12,9.31833E-13,2.44724E-11,4.52637E-12,4.15193E-11,6.05795E-13,6.05795E-13,4.3591E-12
2.17478E-10,4.51348E-12,9.22277E-13,2.43325E-11,4.50299E-12,4.106E-11,6.01354E-13,6.01354E-13,4.3241E-12
2.15592E-10,4.46112E-12,9.12253E-13,2.43829E-11,4.4987E-12,4.05091E-11,5.95291E-13,5.95291E-13,4.2754E-12
2.13988E-10,4.42071E-12,9.02892E-13,2.43363E-11,4.44971E-12,4.00407E-11,5.90101E-13,5.90101E-13,4.2374E-12
2.12323E-10,4.37679E-12,8.94205E-13,2.44058E-11,4.46096E-12,3.95539E-11,5.84876E-13,5.84876E-13,4.2046E-12
2.10613E-10,4.33408E-12,8.86043E-13,2.42044E-11,4.4234E-12,3.92111E-11,5.8025E-13,5.8025E-13,4.1666E-12
2.08837E-10,4.28944E-12,8.75882E-13,2.40304E-11,4.42989E-12,3.88143E-11,5.75213E-13,5.75213E-13,4.1306E-12
2.07106E-10,4.24198E-12,8.64921E-13,2.3907E-11,4.42151E-12,3.84635E-11,5.70557E-13,5.70557E-13,4.0939E-12
2.05504E-10,4.19794E-12,8.54424E-13,2.39726E-11,4.44343E-12,3.80619E-11,5.65672E-13,5.65672E-13,4.0534E-12
2.03745E-10,4.14994E-12,8.47445E-13,2.39456E-11,4.41547E-12,3.7581E-11,5.60943E-13,5.60943E-13,4.0146E-12
2.01938E-10,4.11363E-12,8.41117E-13,2.39378E-11,4.41124E-12,3.7176E-11,5.56098E-13,5.56098E-13,3.9722E-12
2.00298E-10,4.06998E-12,8.33153E-13,2.3784E-11,4.4064E-12,3.667E-11,5.5145E-13,5.5145E-13,3.929E-12
1.98661E-10,4.02145E-12,8.23564E-13,2.37149E-11,4.42702E-12,3.61953E-11,5.46565E-13,5.46565E-13,3.8905E-12
1.96884E-10,3.97469E-12,8.13879E-13,2.3665E-11,4.43754E-12,3.57755E-11,5.4178E-13,5.4178E-13,3.8479E-12
1.95254E-10,3.93008E-12,8.0533E-13,2.36881E-11,4.44392E-12,3.54049E-11,5.36147E-13,5.36147E-13,3.8147E-12
1.93704E-10,3.88691E-12,7.97569E-13,2.37608E-11,4.44312E-12,3.50804E-11,5.30978E-13,5.30978E-13,3.7742E-12
1.92208E-10,3.84789E-12,7.90854E-13,2.37683E-11,4.42002E-12,3.4733E-11,5.25542E-13,5.25542E-13,3.741E-12
1.90443E-10,3.80425E-12,7.84167E-13,2.36343E-11,4.41105E-12,3.42546E-11,5.20976E-13,5.20976E-13,3.7053E-12
1.88723E-10,3.76407E-12,7.76679E-13,2.36113E-11,4.39861E-12,3.38304E-11,5.15943E-13,5.15943E-13,3.6736E-12
1.86919E-10,3.71959E-12,7.67804E-13,2.33862E-11,4.40966E-12,3.33891E-11,5.11352E-13,5.11352E-13,3.6404E-12
1.85079E-10,3.6834E-12,7.60242E-13,2.34433E-11,4.39071E-12,3.30249E-11,5.06167E-13,5.06167E-13,3.6054E-12
1.83125E-10,3.64302E-12,7.51505E-13,2.33063E-11,4.35364E-12,3.26616E-11,5.01721E-13,5.01721E-13,3.5711E-12
1.81217E-10,3.59807E-12,7.43947E-13,2.33557E-11,4.30952E-12,3.23128E-11,4.96944E-13,4.96944E-13,3.5352E-12
1.79645E-10,3.56152E-12,7.37078E-13,2.3481E-11,4.33055E-12,3.19328E-11,4.92768E-13,4.92768E-13,3.5055E-12
1.7796E-10,3.52628E-12,7.30705E-13,2.35567E-11,4.34506E-12,3.14975E-11,4.8897E-13,4.8897E-13,3.4808E-12
1.76389E-10,3.49067E-12,7.23948E-13,2.35374E-11,4.33149E-12,3.11285E-11,4.84158E-13,4.84158E-13,3.4573E-12
1.74515E-10,3.45371E-12,7.16009E-13,2.34955E-11,4.30394E-12,3.0719E-11,4.79754E-13,4.79754E-13,3.4375E-12
1.72789E-10,3.4184E-12,7.08848E-13,2.3427E-11,4.29568E-12,3.03292E-11,4.74263E-13,4.74263E-13,3.4022E-12
1.71005E-10,3.38473E-12,7.04593E-13,2.37216E-11,4.3166E-12,3.00284E-11,4.69432E-13,4.69432E-13,3.3703E-12
