wave,original_mac_m2.mg,original_corrected_mac_m2.mg,invivo_corrected_mac_m2.mg,invivo_corrected_750_normalised_mac_m2.mg,,,,200,0,0,0,0
363,0.312040979,0.139462515,0.23009173,0.20174796,,,,314,0.462681368,0.130142695,0.232060337,0.203716567
364,0.309113754,0.139486968,0.228417575,0.200073804,,,,315,0.459908437,0.130712141,0.234182737,0.205838967
365,0.305963825,0.139956227,0.226574168,0.198230398,,,,316,0.457135506,0.131283469,0.236034751,0.207690981
366,0.302813897,0.140438566,0.224608267,0.196264497,,,,317,0.454640682,0.131988828,0.240457565,0.212113795
367,0.299269884,0.140824587,0.222980178,0.194636407,,,,318,0.452145859,0.132704068,0.242104178,0.213760408
368,0.295725872,0.141220138,0.221460899,0.193117129,,,,319,0.449684143,0.133613683,0.243801356,0.215457586
369,0.293755778,0.141950973,0.220133201,0.191789431,,,,320,0.447222427,0.134561808,0.244504792,0.216161021
370,0.291785684,0.1426986,0.218736974,0.190393204,,,,321,0.444021433,0.135118665,0.248160686,0.219816916
371,0.289555516,0.143622138,0.217612399,0.189268629,,,,322,0.44082044,0.135687749,0.249048202,0.220704432
372,0.287325348,0.144571849,0.216003514,0.187659744,,,,323,0.438412912,0.136374592,0.252394771,0.224051001
373,0.284831608,0.145187934,0.214824446,0.186480676,,,,324,0.436005383,0.137075436,0.254477931,0.226134161
374,0.282337867,0.145819683,0.213429465,0.185085695,,,,325,0.434318473,0.138116863,0.256468293,0.228124522
375,0.280326441,0.146732837,0.212061735,0.183717965,,,,326,0.432631562,0.139181798,0.257122883,0.228779113
376,0.278315014,0.147669211,0.21141712,0.18307335,,,,327,0.430676295,0.139885042,0.25766004,0.22931627
377,0.276615144,0.148811584,0.211307374,0.182963604,,,,328,0.428721028,0.140601259,0.255945746,0.227601976
378,0.274915274,0.149985573,0.21059772,0.18225395,,,,329,0.427126618,0.141417086,0.257360728,0.229016958
379,0.272819982,0.150834343,0.209378949,0.181035178,,,,330,0.425532209,0.142248068,0.262817806,0.234474036
380,0.27072469,0.151694401,0.208616825,0.180273055,,,,331,0.423321754,0.143026772,0.267634828,0.239291058
381,0.268588909,0.15240616,0.208209767,0.179865996,,,,332,0.421111299,0.143821527,0.268511902,0.240168131
382,0.266453128,0.153097608,0.207695755,0.179351985,,,,333,0.418690502,0.144318087,0.270137652,0.241793882
383,0.264512325,0.154367178,0.207603163,0.179259393,,,,334,0.416269705,0.144822954,0.272985335,0.244641565
384,0.262571522,0.155677558,0.207248398,0.178904628,,,,335,0.413838428,0.145533542,0.272236202,0.243892432
385,0.260496861,0.155995446,0.206609729,0.178265958,,,,336,0.411407152,0.146258689,0.270211909,0.241868139
386,0.2584222,0.156320069,0.205929277,0.177585506,,,,337,0.407783284,0.146592289,0.266666944,0.238323174
