wvl,BRA,BRB,BRC,HE1A,HE2A,HE2B,HE2C,MIT1A,MIT1B,MIT1C,MIT2A,MIT2B,MIT2C,MIT3A,MIT3B,MIT3C,MIT4A,MIT4B,MIT4C,MIT5A,MIT5B,MIT5C
533,0.002630066,0.00263859,0.00248501,0.002665567,0.002569313,0.00233291,0.002463055,0.001591199,0.00414617,0.002486392,0.001010637,0.000795115,0.000753337,0.002651068,0.002622546,0.002649899,0.002339566,0.002552275,0.002759405,0.002413456,0.002451991,0.002783189
536,0.002639843,0.002625331,0.002450496,0.002623256,0.002398026,0.002263271,0.002447945,0.001507452,0.004063247,0.002279192,0.000945434,0.00074542,0.00070768,0.00263143,0.002622546,0.002629515,0.002324758,0.002540487,0.002759405,0.002384639,0.002423331,0.002770091
539,0.002639843,0.002618701,0.002450496,0.002623256,0.002398026,0.002228452,0.002447945,0.001507452,0.004007964,0.002175593,0.000912833,0.000695725,0.000684852,0.002651068,0.002635791,0.002629515,0.002339566,0.002528698,0.00277805,0.002384639,0.002416963,0.002763543
542,0.002620288,0.002598812,0.002450496,0.002623256,0.002398026,0.002228452,0.002432834,0.001423705,0.003925041,0.002071993,0.000863931,0.000670878,0.000684852,0.00263143,0.002609301,0.002609131,0.002309951,0.002511015,0.002759405,0.002377435,0.002426516,0.002750445
545,0.002600734,0.002578923,0.002415982,0.002665567,0.002398026,0.002228452,0.002417723,0.001339957,0.0038974,0.001968393,0.00083133,0.000670878,0.000662024,0.00263143,0.002596056,0.002609131,0.002309951,0.002493331,0.002759405,0.002377435,0.002407409,0.002730799
548,0.002571403,0.002552405,0.002450496,0.002623256,0.002226738,0.002263271,0.002417723,0.001339957,0.003869759,0.001968393,0.000798729,0.000670878,0.000639195,0.002651068,0.002596056,0.002629515,0.002309951,0.002469754,0.00277805,0.002377435,0.002407409,0.002717702
551,0.002532294,0.002519257,0.002450496,0.002580946,0.002226738,0.002263271,0.002387502,0.001339957,0.003786835,0.001968393,0.000782429,0.000646031,0.000616367,0.00263143,0.002543075,0.002609131,0.002265529,0.002440282,0.002740761,0.002363026,0.002391487,0.002704605
554,0.002502962,0.002492738,0.002381468,0.002580946,0.002398026,0.002193632,0.002327059,0.001339957,0.00364863,0.001864794,0.000733527,0.000646031,0.000593538,0.002572517,0.002503339,0.00254798,0.002206299,0.00241081,0.002684827,0.002334208,0.002366012,0.00267841
557,0.002483408,0.00246622,0.00231244,0.002538635,0.002398026,0.002089173,0.002281726,0.001339957,0.003565706,0.001864794,0.000684625,0.000646031,0.00057071,0.002533242,0.002463604,0.002507212,0.002176685,0.002387232,0.002647537,0.002305391,0.002337353,0.002652215
560,0.002454076,0.002439701,0.002277926,0.002496325,0.002226738,0.002019534,0.002236394,0.00125621,0.003482783,0.001761194,0.000652024,0.000596336,0.00057071,0.002493967,0.002437113,0.002446061,0.002132263,0.002351866,0.002591604,0.002269369,0.00229914,0.00262602
